Human Signaling Network,16-Jan-14,,,
5294,PIK3CG,959,CD40LG,Phy
6258,RXRG,8310,ACOX3,Pos
196,AHR,9429,ABCG2,Pos
208,AKT2,57521,RPTOR,Pos
4089,SMAD4,993,CDC25A,Neg
6198,RPS6KB1,4775,NFATC3,Pos
11064,CEP110,22919,MAPRE1,Phy
4862,NPAS2,8864,PER2,Pos
2959,GTF2B,2957,GTF2A1,Phy
3953,LEPR,5565,PRKAB2,Pos
9263,STK17A,4193,MDM2,Pos
8445,DYRK2,55323,LARP6,Pos
6655,SOS2,3265,HRAS,Pos
868,CBLB,2263,FGFR2,Neg
7033,TFF3,2690,GHR,Pos
51081,MRPS7,9045,RPL14,Phy
29760,BLNK,25759,SHC2,Pos
10818,FRS2,3265,HRAS,Pos
4791,NFKB2,4843,NOS2,Pos
5903,RANBP2,6628,SNRPB,Pos
1906,EDN1,4880,NPPC,Neg
10125,RASGRP1,8913,CACNA1G,Phy
8772,FADD,3551,IKBKB,Pos
10197,PSME3,5716,PSMD10,Phy
860,RUNX2,3958,LGALS3,Pos
5601,MAPK9,8660,IRS2,Neg
2188,FANCF,91442,C19orf40,Phy
5599,MAPK8,672,BRCA1,Pos
4149,MAX,7709,ZBTB17,Phy
51086,TNNI3K,55036,CCDC40,Pos
1286,COL4A4,3695,ITGB7,Pos
8874,ARHGEF7,2033,EP300,Pos
5048,PAFAH1B1,54820,NDE1,Phy
5578,PRKCA,22798,LAMB4,Pos
1284,COL4A2,3693,ITGB5,Pos
11258,DCTN3,10733,PLK4,Phy
3561,IL2RG,6654,SOS1,Pos
5921,RASA1,6774,STAT3,Pos
92170,MTG1,5894,RAF1,Pos
9263,STK17A,5901,RAN,Pos
27134,TJP3,9074,CLDN6,Phy
3558,IL2,4584,MUC3A,Pos
6128,RPL6,6210,RPS15A,Phy
3326,HSP90AB1,367,AR,Pos
4171,MCM2,8318,CDC45L,Phy
203068,TUBB,9702,CEP57,Phy
4067,LYN,2353,FOS,Neg
4615,MYD88,8772,FADD,Pos
3685,ITGAV,1398,CRK,Pos
81,ACTN4,6709,SPTAN1,Phy
5708,PSMD2,996,CDC27,Pos
6714,SRC,9564,BCAR1,Pos
8607,RUVBL1,4691,NCL,Pos
930,CD19,7410,VAV2,Pos
64798,DEPDC6,55615,PRR5,Phy
29979,UBQLN1,1163,CKS1B,Pos
1855,DVL1,998,CDC42,Pos
1387,CREBBP,1647,GADD45A,Pos
3315,HSPB1,8697,CDC23,Pos
8807,IL18RAP,8809,IL18R1,Phy
2897,GRIK1,79571,GCC1,Phy
6288,SAA1,3576,IL8,Pos
1147,CHUK,3665,IRF7,Pos
