Human Signaling Network,16-Jan-14,,,
4904,YBX1,5155,PDGFB,Pos
4609,MYC,23671,TMEFF2,Neg
3459,IFNGR1,3718,JAK3,Pos
3913,LAMB2,5621,PRNP,Pos
6776,STAT5A,1962,EHHADH,Neg
55367,LRDD,8567,MADD,Phy
23114,NFASC,280979,ACTIN,Phy
4851,NOTCH1,9584,RBM39,Neg
10014,HDAC5,8932,MBD2,Phy
27342,RABGEF1,3265,HRAS,Neg
841,CASP8,3685,ITGAV,Phy
405,ARNT,5209,PFKFB3,Pos
5894,RAF1,8844,KSR1,Pos
51497,TH1L,6827,SUPT4H1,Phy
1781,DYNC1I2,10383,TUBB2C,Phy
7157,TP53,3304,HSPA1B,Neg
5519,PPP2R1B,286151,FBXO43,Pos
10000,AKT3,1326,MAP3K8,Pos
5154,PDGFA,5921,RASA1,Pos
867,CBL,29924,EPN1,Pos
5770,PTPN1,1500,CTNND1,Neg
6351,CCL4,5731,PTGER1,Phy
9051,PSTPIP1,4210,MEFV,Pos
650621,LOC650621,9133,CCNB2,Neg
4636,MYL5,4635,MYL4,Phy
10728,PTGES3,7015,TERT,Phy
3875,KRT18,5293,PIK3CD,Phy
9516,LITAF,5595,MAPK3,Pos
3630,INS,5156,PDGFRA,Pos
1457,CSNK2A1,3978,LIG1,Pos
81929,SEH1L,51692,CPSF3,Pos
3921,RPSA,6228,RPS23,Phy
2263,FGFR2,147808,ZNF784,Pos
6157,RPL27A,6210,RPS15A,Phy
4803,NGF,5607,MAP2K5,Pos
4804,NGFR,6654,SOS1,Pos
8928,FOXH1,145258,GSC,Pos
6142,RPL18A,6234,RPS28,Phy
8516,ITGA8,961,CD47,Phy
6585,SLIT1,2817,GPC1,Pos
8795,TNFRSF10B,8772,FADD,Pos
10094,ARPC3,646048,LOC646048,Phy
7124,TNF,6352,CCL5,Pos
9252,RPS6KA5,4171,MCM2,Pos
8851,CDK5R1,5058,PAK1,Neg
857,CAV1,7124,TNF,Pos
2263,FGFR2,860,RUNX2,Pos
5156,PDGFRA,5293,PIK3CD,Pos
997,CDC34,4792,NFKBIA,Neg
8550,MAPKAPK5,5566,PRKACA,Pos
6863,TAC1,6870,TACR3,Pos
5617,PRL,1938,EEF2,Pos
5465,PPARA,6198,RPS6KB1,Neg
1454,CSNK1E,9702,CEP57,Phy
650,BMP2,650,BMP2,Pos
3727,JUND,4878,NPPA,Pos
8819,SAP30,8841,HDAC3,Phy
7533,YWHAH,7532,YWHAG,Pos
2247,FGF2,7168,TPM1,Neg
3908,LAMA2,7534,YWHAZ,Phy
80227,PAAF1,246184,CDC26,Pos
6231,RPS26,6202,RPS8,Phy
6390,SDHB,6391,SDHC,Phy
5601,MAPK9,6667,SP1,Pos
2920,CXCL2,2833,CXCR3,Pos
4893,NRAS,5293,PIK3CD,Phy
2353,FOS,7157,TP53,Neg
5689,PSMB1,23198,PSME4,Phy
2149,F2R,118425,GDEP,Pos
1857,DVL3,5515,PPP2CA,Phy
4928,NUP98,53981,CPSF2,Pos
3562,IL3,3071,NCKAP1L,Pos
929,CD14,7099,TLR4,Pos
1616,DAXX,637,BID,Pos
4854,NOTCH3,1840,DTX1,Pos
6500,SKP1,997,CDC34,Phy
3561,IL2RG,3716,JAK1,Phy
6256,RXRA,5469,MED1,Phy
7186,TRAF2,9020,MAP3K14,Neg
49861,CLDN20,9414,TJP2,Phy
6934,TCF7L2,894,CCND2,Pos
90701,SEC11C,6184,RPN1,Pos
5580,PRKCD,25937,WWTR1,Pos
3456,IFNB1,6773,STAT2,Pos
5527,PPP2R5C,2903,GRIN2A,Neg
3552,IL1A,7867,MAPKAPK3,Pos
6187,RPS2,6191,RPS4X,Phy
50818,PKC,2185,PTK2B,Pos
10645,CAMKK2,5566,PRKACA,Pos
3444,IFNA7,3458,IFNG,Pos
5347,PLK1,80254,CEP63,Phy
9572,NR1D1,9575,CLOCK,Neg
3678,ITGA5,3691,ITGB4,Phy
84867,PTPN5,5594,MAPK1,Neg
2206,MS4A2,3497,IGHE,Phy
6714,SRC,5970,RELA,Pos
3710,ITPR3,805,CALM2,Phy
26285,CLDN17,9414,TJP2,Phy
958,CD40,55213,RCBTB1,Pos
79902,NUP85,65109,UPF3B,Pos
100291837,LOC100291837,2512,FTL,Phy
10686,CLDN16,4950,OCLN,Phy
3558,IL2,283458,NME2P1,Pos
3690,ITGB3,5310,PKD1,Phy
140801,RPL10L,6144,RPL21,Phy
156,ADRBK1,7852,CXCR4,Phy
9789,SPCS2,1650,DDOST,Pos
5008,OSM,3716,JAK1,Pos
613,BCR,942,CD86,Pos
10013,HDAC6,8338,HIST2H2AC,Pos
5332,PLCB4,805,CALM2,Phy
5646,PRSS3,2150,F2RL1,Pos
7484,WNT9B,8324,FZD7,Pos
8798,DYRK4,4869,NPM1,Pos
10209,EIF1,1965,EIF2S1,Pos
5829,PXN,998,CDC42,Pos
6256,RXRA,4199,ME1,Pos
3643,INSR,5506,PPP1R3A,Pos
3688,ITGB1,961,CD47,Phy
7297,TYK2,6348,CCL3,Pos
720,C4A,721,C4B,Phy
6500,SKP1,7314,UBB,Pos
10095,ARPC1B,646048,LOC646048,Phy
1495,CTNNA1,5290,PIK3CA,Pos
5685,PSMA4,5702,PSMC3,Phy
5709,PSMD3,5687,PSMA6,Phy
23139,MAST2,6550,SLC9A3,Pos
23624,CBLC,3455,IFNAR2,Neg
1326,MAP3K8,4790,NFKB1,Neg
6143,RPL19,6218,RPS17,Phy
55367,LRDD,7186,TRAF2,Phy
5829,PXN,9815,GIT2,Phy
5594,MAPK1,2264,FGFR4,Neg
9212,AURKB,5702,PSMC3,Pos
2321,FLT1,399694,SHC4,Pos
4775,NFATC3,3558,IL2,Neg
2736,GLI2,7477,WNT7B,Pos
59343,SENP2,6934,TCF7L2,Pos
171422,CRPP1,3576,IL8,Neg
23198,PSME4,5695,PSMB7,Phy
5590,PRKCZ,147,ADRA1B,Pos
5588,PRKCQ,7074,TIAM1,Pos
4486,MST1R,3684,ITGAM,Pos
356,FASLG,7132,TNFRSF1A,Pos
4619,MYH1,646048,LOC646048,Phy
5294,PIK3CG,5170,PDPK1,Pos
324,APC,8313,AXIN2,Phy
1499,CTNNB1,3082,HGF,Neg
6227,RPS21,6189,RPS3A,Phy
4957,ODF2,84131,CEP78,Phy
3717,JAK2,11183,MAP4K5,Pos
891,CCNB1,51529,ANAPC11,Pos
6850,SYK,53358,SHC3,Pos
3553,IL1B,89832,CHRFAM7A,Pos
6125,RPL5,6222,RPS18,Phy
2309,FOXO3,4087,SMAD2,Phy
348,APOE,4041,LRP5,Pos
9037,SEMA5A,5365,PLXNB3,Pos
5594,MAPK1,9261,MAPKAPK2,Pos
8646,CHRD,653,BMP5,Neg
925,CD8A,5551,PRF1,Pos
7040,TGFB1,7490,WT1,Pos
4626,MYH8,57530,CGN,Phy
29110,TBK1,29110,TBK1,Phy
4751,NEK2,7533,YWHAH,Pos
1605,DAG1,2017,CTTN,Pos
64127,NOD2,3586,IL10,Neg
5605,MAP2K2,5294,PIK3CG,Pos
8835,SOCS2,3590,IL11RA,Neg
85417,CCNB3,891,CCNB1,Phy
6714,SRC,6772,STAT1,Pos
1452,CSNK1A1,2017,CTTN,Pos
5562,PRKAA1,5894,RAF1,Pos
6147,RPL23A,6201,RPS7,Phy
7341,SUMO1,57591,MKL1,Neg
2263,FGFR2,6646,SOAT1,Pos
3696,ITGB8,7094,TLN1,Phy
10540,DCTN2,7532,YWHAG,Phy
27183,VPS4A,57132,CHMP1B,Phy
3553,IL1B,3383,ICAM1,Pos
836,CASP3,5728,PTEN,Pos
285,ANGPT2,284,ANGPT1,Neg
2648,KAT2A,8850,KAT2B,Phy
3055,HCK,7410,VAV2,Pos
1477,CSTF1,10898,CPSF4,Pos
3595,IL12RB2,4616,GADD45B,Pos
355,FAS,1956,EGFR,Pos
5698,PSMB9,51529,ANAPC11,Pos
3694,ITGB6,1398,CRK,Pos
10714,POLD3,5982,RFC2,Pos
196883,ADCY4,5568,PRKACG,Pos
9690,UBE3C,5715,PSMD9,Phy
5698,PSMB9,6921,TCEB1,Pos
5687,PSMA6,5695,PSMB7,Phy
998,CDC42,81624,DIAPH3,Pos
1387,CREBBP,1437,CSF2,Neg
5431,POLR2B,5439,POLR2J,Phy
5518,PPP2R1A,5525,PPP2R5A,Phy
2099,ESR1,2778,GNAS,Pos
9378,NRXN1,57555,NLGN2,Pos
4686,NCBP1,6209,RPS15,Phy
1399,CRKL,5602,MAPK10,Phy
387,RHOA,284217,LAMA1,Pos
3665,IRF7,3441,IFNA4,Pos
472,ATM,3479,IGF1,Neg
961,CD47,664,BNIP3,Pos
1147,CHUK,7185,TRAF1,Phy
5594,MAPK1,7531,YWHAE,Neg
6789,STK4,10980,COPS6,Pos
2775,GNAO1,5595,MAPK3,Pos
51129,ANGPTL4,4023,LPL,Neg
3091,HIF1A,5155,PDGFB,Pos
64223,MLST8,5578,PRKCA,Pos
22861,NLRP1,838,CASP5,Phy
10499,NCOA2,3817,KLK2,Pos
2033,EP300,4303,FOXO4,Neg
773,CACNA1A,59283,CACNG8,Phy
84131,CEP78,8481,OFD1,Phy
553,AVPR1B,2767,GNA11,Pos
5711,PSMD5,996,CDC27,Pos
23229,ARHGEF9,998,CDC42,Pos
2558,GABRA5,2559,GABRA6,Phy
7026,NR2F2,7015,TERT,Neg
896,CCND3,6839,SUV39H1,Pos
122809,SOCS4,3563,IL3RA,Neg
2784,GNB3,23236,PLCB1,Pos
367,AR,7536,SF1,Phy
2260,FGFR1,1387,CREBBP,Pos
1311,COMP,6382,SDC1,Pos
55835,CENPJ,4790,NFKB1,Pos
27338,UBE2S,10393,ANAPC10,Phy
9771,RAPGEF5,5595,MAPK3,Pos
29851,ICOS,5296,PIK3R2,Pos
7481,WNT11,8324,FZD7,Pos
1453,CSNK1D,22919,MAPRE1,Phy
2261,FGFR3,5594,MAPK1,Pos
51806,CALML5,5331,PLCB3,Phy
5575,PRKAR1B,5594,MAPK1,Neg
9734,HDAC9,7088,TLE1,Pos
7157,TP53,891,CCNB1,Neg
3569,IL6,1435,CSF1,Pos
7334,UBE2N,3014,H2AFX,Neg
6128,RPL6,6193,RPS5,Phy
4626,MYH8,646821,LOC646821,Phy
3516,RBPJ,3565,IL4,Pos
22801,ITGA11,2317,FLNB,Phy
5599,MAPK8,6612,SUMO3,Pos
6774,STAT3,30837,SOCS7,Pos
5713,PSMD7,6923,TCEB2,Pos
2782,GNB1,5290,PIK3CA,Pos
8655,DYNLL1,8636,SSNA1,Phy
54623,PAF1,8349,HIST2H2BE,Pos
5197,PF4V1,1524,CX3CR1,Pos
7057,THBS1,948,CD36,Pos
4089,SMAD4,3693,ITGB5,Pos
3937,LCP2,933,CD22,Phy
149461,CLDN19,9074,CLDN6,Phy
8913,CACNA1G,782,CACNB1,Phy
5715,PSMD9,9978,RBX1,Pos
6872,TAF1,6874,TAF4,Phy
25759,SHC2,284,ANGPT1,Phy
54331,GNG2,5879,RAC1,Pos
30837,SOCS7,3598,IL13RA2,Neg
29893,PSMC3IP,367,AR,Phy
8626,TP63,64782,AEN,Neg
1496,CTNNA2,646821,LOC646821,Phy
3458,IFNG,1508,CTSB,Pos
1290,COL5A2,3696,ITGB8,Pos
5587,PRKD1,7430,EZR,Pos
6376,CX3CL1,643,CXCR5,Pos
9402,GRAP2,5588,PRKCQ,Pos
4957,ODF2,10382,TUBB4,Phy
8651,SOCS1,3458,IFNG,Neg
5903,RANBP2,7329,UBE2I,Phy
1759,DNM1,5295,PIK3R1,Phy
2147,F2,2815,GP9,Pos
1028,CDKN1C,896,CCND3,Neg
22938,SNW1,83737,ITCH,Phy
5879,RAC1,23647,ARFIP2,Pos
1910,EDNRB,6550,SLC9A3,Pos
6194,RPS6,6208,RPS14,Phy
5924,RASGRF2,773,CACNA1A,Phy
23617,TSSK2,3141,HLCS,Pos
3663,IRF5,3456,IFNB1,Pos
801,CALM1,5535,PPP3R2,Pos
122011,CSNK1A1L,2736,GLI2,Neg
50512,PODXL2,6402,SELL,Pos
5683,PSMA2,5687,PSMA6,Phy
7525,YES1,8440,NCK2,Pos
5898,RALA,1432,MAPK14,Pos
1432,MAPK14,2353,FOS,Pos
4040,LRP6,1855,DVL1,Pos
658,BMPR1B,9112,MTA1,Pos
4088,SMAD3,6711,SPTBN1,Phy
6237,RRAS,673,BRAF,Pos
5685,PSMA4,5716,PSMD10,Phy
57154,SMURF1,3791,KDR,Neg
6156,RPL30,6192,RPS4Y1,Phy
5467,PPARD,4023,LPL,Pos
5335,PLCG1,25,ABL1,Pos
10368,CACNG3,59284,CACNG7,Phy
5691,PSMB3,6923,TCEB2,Pos
1268,CNR1,2775,GNAO1,Pos
10066,SCAMP2,5338,PLD2,Pos
2215,FCGR3B,5290,PIK3CA,Pos
7535,ZAP70,27040,LAT,Pos
5579,PRKCB,6383,SDC2,Pos
7318,UBA7,5371,PML,Pos
3082,HGF,2889,RAPGEF1,Pos
10507,SEMA4D,4233,MET,Pos
7475,WNT6,2535,FZD2,Pos
7529,YWHAB,994,CDC25B,Phy
2104,ESRRG,650,BMP2,Neg
3569,IL6,3002,GZMB,Pos
3371,TNC,3675,ITGA3,Pos
28964,GIT1,998,CDC42,Pos
6632,SNRPD1,6633,SNRPD2,Phy
5590,PRKCZ,3265,HRAS,Pos
1965,EIF2S1,92170,MTG1,Phy
5719,PSMD13,6555,SLC10A2,Phy
3908,LAMA2,3693,ITGB5,Pos
728622,LOC728622,1027,CDKN1B,Neg
2324,FLT4,6714,SRC,Pos
2260,FGFR1,6772,STAT1,Pos
5687,PSMA6,5716,PSMD10,Phy
5532,PPP3CB,3458,IFNG,Neg
10103,TSPAN1,5580,PRKCD,Phy
5431,POLR2B,65123,INTS3,Phy
3643,INSR,25970,SH2B1,Phy
3930,LBR,4306,NR3C2,Pos
6218,RPS17,6187,RPS2,Phy
3558,IL2,3574,IL7,Neg
4602,MYB,759,CA1,Pos
843,CASP10,1973,EIF4A1,Pos
1874,E2F4,3065,HDAC1,Phy
4090,SMAD5,3196,TLX2,Pos
51081,MRPS7,6130,RPL7A,Phy
5577,PRKAR2B,1390,CREM,Pos
2475,MTOR,84335,AKT1S1,Phy
8874,ARHGEF7,867,CBL,Neg
8636,SSNA1,55142,HAUS2,Phy
55120,FANCL,80233,C17orf70,Pos
10298,PAK4,23294,ANKS1A,Pos
3066,HDAC2,4193,MDM2,Neg
9263,STK17A,4176,MCM7,Pos
5777,PTPN6,1956,EGFR,Pos
6929,TCF3,8313,AXIN2,Pos
1499,CTNNB1,4303,FOXO4,Phy
7432,VIP,3716,JAK1,Neg
2773,GNAI3,5332,PLCB4,Pos
149233,IL23R,7297,TYK2,Pos
2033,EP300,4023,LPL,Pos
6934,TCF7L2,3576,IL8,Pos
54820,NDE1,22919,MAPRE1,Phy
3357,HTR2B,9630,GNA14,Pos
3619,INCENP,29127,RACGAP1,Pos
3827,KNG1,64582,GPR135,Pos
1302,COL11A2,3696,ITGB8,Pos
4622,MYH4,8736,MYOM1,Phy
837,CASP4,1973,EIF4A1,Pos
55681,SCYL2,1192,CLIC1,Pos
3439,IFNA1,4599,MX1,Pos
5294,PIK3CG,113791,PIK3IP1,Neg
375189,PFN4,60,ACTB,Phy
9294,S1PR2,1490,CTGF,Pos
9046,DOK2,1398,CRK,Phy
5335,PLCG1,808,CALM3,Pos
9612,NCOR2,3516,RBPJ,Neg
6622,SNCA,23198,PSME4,Neg
3002,GZMB,6888,TALDO1,Pos
3552,IL1A,4318,MMP9,Pos
10419,PRMT5,91875,TTC5,Phy
7525,YES1,23650,TRIM29,Pos
4149,MAX,5366,PMAIP1,Pos
5566,PRKACA,154,ADRB2,Neg
1387,CREBBP,4199,ME1,Pos
2099,ESR1,2771,GNAI2,Phy
51377,UCHL5,5713,PSMD7,Phy
6714,SRC,8874,ARHGEF7,Pos
5602,MAPK10,7157,TP53,Pos
3386,ICAM4,3689,ITGB2,Pos
843,CASP10,58155,PTBP2,Pos
9636,ISG15,3558,IL2,Pos
3918,LAMC2,3691,ITGB4,Pos
7321,UBE2D1,7314,UBB,Pos
3371,TNC,8515,ITGA10,Pos
55359,STYK1,9112,MTA1,Pos
5801,PTPRR,3055,HCK,Pos
3091,HIF1A,10014,HDAC5,Pos
54331,GNG2,5777,PTPN6,Pos
8295,TRRAP,1019,CDK4,Pos
1495,CTNNA1,7791,ZYX,Pos
6850,SYK,5747,PTK2,Pos
5588,PRKCQ,5602,MAPK10,Pos
7414,VCL,3672,ITGA1,Phy
7507,XPA,7507,XPA,Pos
5719,PSMD13,9491,PSMF1,Phy
3303,HSPA1A,5599,MAPK8,Neg
5578,PRKCA,6257,RXRB,Pos
6198,RPS6KB1,3320,HSP90AA1,Phy
6192,RPS4Y1,6206,RPS12,Phy
23624,CBLC,3460,IFNGR2,Neg
3122,HLA-DRA,941,CD80,Pos
2773,GNAI3,107,ADCY1,Neg
5879,RAC1,604,BCL6,Neg
2185,PTK2B,7533,YWHAH,Pos
824,CAPN2,5587,PRKD1,Neg
4927,NUP88,9939,RBM8A,Pos
95681,TSGA14,121441,NEDD1,Phy
10393,ANAPC10,8881,CDC16,Pos
7266,DNAJC7,3320,HSP90AA1,Neg
5879,RAC1,7157,TP53,Pos
7096,TLR1,9242,MSC,Pos
3315,HSPB1,6555,SLC10A2,Phy
6143,RPL19,6181,RPLP2,Phy
8050,PDHX,5160,PDHA1,Phy
3672,ITGA1,836,CASP3,Neg
6464,SHC1,8823,FGF16,Phy
930,CD19,8503,PIK3R3,Pos
10987,COPS5,4846,NOS3,Pos
6256,RXRA,376497,SLC27A1,Pos
7321,UBE2D1,10393,ANAPC10,Phy
786,CACNG1,785,CACNB4,Phy
5197,PF4V1,3579,CXCR2,Pos
6122,RPL3,6152,RPL24,Phy
5649,RELN,25,ABL1,Pos
57521,RPTOR,8664,EIF3D,Pos
5783,PTPN13,8572,PDLIM4,Pos
6662,SOX9,1404,HAPLN1,Pos
1906,EDN1,23566,LPAR3,Phy
3690,ITGB3,88,ACTN2,Phy
6169,RPL38,6202,RPS8,Phy
7709,ZBTB17,7124,TNF,Neg
100290337,LOC100290337,6119,RPA3,Pos
2968,GTF2H4,5430,POLR2A,Pos
64223,MLST8,8661,EIF3A,Pos
5140,PDE3B,5576,PRKAR2A,Phy
9002,F2RL3,2770,GNAI1,Pos
3439,IFNA1,3135,HLA-G,Pos
5979,RET,6774,STAT3,Pos
1017,CDK2,5241,PGR,Pos
2737,GLI3,7484,WNT9B,Pos
3304,HSPA1B,5601,MAPK9,Neg
24149,ZNF318,354,KLK3,Neg
5702,PSMC3,8945,BTRC,Pos
1948,EFNB2,5879,RAC1,Pos
2256,FGF11,2885,GRB2,Phy
5594,MAPK1,2257,FGF12,Neg
8445,DYRK2,5687,PSMA6,Pos
7099,TLR4,3576,IL8,Pos
22989,MYH15,60,ACTB,Phy
10371,SEMA3A,8829,NRP1,Pos
1364,CLDN4,5010,CLDN11,Phy
83729,INHBE,1588,CYP19A1,Pos
23236,PLCB1,3709,ITPR2,Phy
7040,TGFB1,9372,ZFYVE9,Phy
51386,EIF3L,8666,EIF3G,Phy
29882,ANAPC2,9232,PTTG1,Neg
3675,ITGA3,88,ACTN2,Phy
1263,PLK3,7161,TP73,Pos
5705,PSMC5,5713,PSMD7,Phy
146225,CMTM2,354,KLK3,Neg
7157,TP53,79370,BCL2L14,Pos
26512,INTS6,7764,ZNF217,Phy
2781,GNAZ,919,CD247,Neg
23624,CBLC,1439,CSF2RB,Neg
7534,YWHAZ,63967,CLSPN,Neg
57154,SMURF1,7046,TGFBR1,Phy
1196,CLK2,4193,MDM2,Pos
1781,DYNC1I2,10733,PLK4,Phy
79885,HDAC11,8204,NRIP1,Phy
25,ABL1,1000,CDH2,Pos
6772,STAT1,4318,MMP9,Neg
810,CALML3,5137,PDE1C,Pos
1500,CTNND1,4216,MAP3K4,Phy
5717,PSMD11,6622,SNCA,Neg
8924,HERC2,8697,CDC23,Phy
10213,PSMD14,51529,ANAPC11,Pos
1875,E2F5,2033,EP300,Phy
51343,FZR1,29945,ANAPC4,Pos
1947,EFNB1,2268,FGR,Pos
3569,IL6,2354,FOSB,Pos
5500,PPP1CB,5257,PHKB,Neg
1022,CDK7,2810,SFN,Phy
6777,STAT5B,9111,NMI,Phy
1870,E2F2,7029,TFDP2,Phy
5887,RAD23B,5713,PSMD7,Phy
5692,PSMB4,996,CDC27,Pos
4149,MAX,595,CCND1,Pos
1840,DTX1,4851,NOTCH1,Phy
10207,INADL,149461,CLDN19,Phy
8986,RPS6KA4,143471,PSMA8,Pos
22995,CEP152,1781,DYNC1I2,Phy
5576,PRKAR2A,5747,PTK2,Neg
6134,RPL10,6152,RPL24,Phy
2251,FGF6,2263,FGFR2,Phy
2967,GTF2H3,5916,RARG,Pos
6497,SKI,9611,NCOR1,Phy
356,FASLG,4217,MAP3K5,Phy
4790,NFKB1,602,BCL3,Phy
9560,CCL4L1,3579,CXCR2,Pos
4318,MMP9,6385,SDC4,Pos
8826,IQGAP1,23265,EXOC7,Neg
51371,POMP,8065,CUL5,Pos
1111,CHEK1,80233,C17orf70,Pos
330,BIRC3,7124,TNF,Phy
4067,LYN,5315,PKM2,Pos
3727,JUND,5328,PLAU,Pos
83903,GSG2,5347,PLK1,Pos
3439,IFNA1,5743,PTGS2,Pos
1968,EIF2S3,6227,RPS21,Phy
1019,CDK4,2017,CTTN,Pos
79959,CEP76,1639,DCTN1,Phy
2623,GATA1,598,BCL2L1,Pos
1965,EIF2S1,6207,RPS13,Phy
10207,INADL,9071,CLDN10,Phy
6233,RPS27A,6203,RPS9,Phy
2065,ERBB3,3717,JAK2,Pos
816,CAMK2B,5879,RAC1,Pos
4057,LTF,8814,CDKL1,Pos
5600,MAPK11,11178,LZTS1,Pos
2908,NR3C1,3596,IL13,Neg
4149,MAX,7474,WNT5A,Neg
7341,SUMO1,6464,SHC1,Pos
10870,HCST,5296,PIK3R2,Pos
3554,IL1R1,54472,TOLLIP,Phy
4950,OCLN,7122,CLDN5,Phy
22798,LAMB4,3693,ITGB5,Pos
5718,PSMD12,64682,ANAPC1,Pos
2846,LPAR4,2774,GNAL,Pos
7979,SHFM1,51035,UBXN1,Phy
134549,SHROOM1,29895,MYLPF,Phy
9184,BUB3,51529,ANAPC11,Neg
1613,DAPK3,5371,PML,Pos
134391,GPR151,1956,EGFR,Pos
1870,E2F2,1871,E2F3,Phy
3091,HIF1A,5054,SERPINE1,Pos
1452,CSNK1A1,7531,YWHAE,Pos
30837,SOCS7,3455,IFNAR2,Neg
5515,PPP2CA,1111,CHEK1,Neg
3562,IL3,6777,STAT5B,Pos
920,CD4,925,CD8A,Pos
3611,ILK,3693,ITGB5,Phy
5058,PAK1,4776,NFATC4,Pos
58528,RRAGD,2475,MTOR,Neg
2852,GPER,1490,CTGF,Pos
6374,CXCL5,3577,CXCR1,Pos
699,BUB1,4691,NCL,Pos
51561,IL23A,6775,STAT4,Pos
1365,CLDN3,9074,CLDN6,Phy
2787,GNG5,5331,PLCB3,Pos
11224,RPL35,9513,FXR2,Phy
5947,RBP1,6464,SHC1,Phy
7040,TGFB1,4322,MMP13,Pos
3446,IFNA10,3458,IFNG,Pos
51377,UCHL5,5693,PSMB5,Phy
10645,CAMKK2,4760,NEUROD1,Pos
858,CAV2,2534,FYN,Pos
3561,IL2RG,3559,IL2RA,Phy
6235,RPS29,7311,UBA52,Phy
10319,LAMC3,3909,LAMA3,Phy
5058,PAK1,4216,MAP3K4,Pos
22798,LAMB4,3676,ITGA4,Pos
5715,PSMD9,5698,PSMB9,Phy
11345,GABARAPL2,10533,ATG7,Pos
5521,PPP2R2B,7534,YWHAZ,Neg
3815,KIT,7525,YES1,Phy
6626,SNRPA,6627,SNRPA1,Phy
10806,SDCCAG8,9793,CKAP5,Phy
207,AKT1,64798,DEPDC6,Pos
3791,KDR,5175,PECAM1,Pos
7421,VDR,5243,ABCB1,Pos
3066,HDAC2,3020,H3F3A,Neg
7040,TGFB1,22914,KLRK1,Pos
2792,GNGT1,5330,PLCB2,Pos
4914,NTRK1,998,CDC42,Pos
6648,SOD2,2064,ERBB2,Neg
2185,PTK2B,6654,SOS1,Pos
843,CASP10,8797,TNFRSF10A,Phy
5880,RAC2,8394,PIP5K1A,Pos
929,CD14,3385,ICAM3,Neg
801,CALM1,3265,HRAS,Pos
10319,LAMC3,3678,ITGA5,Pos
3105,HLA-A,925,CD8A,Phy
5145,PDE6A,5158,PDE6B,Phy
5580,PRKCD,4846,NOS3,Pos
2255,FGF10,5295,PIK3R1,Pos
4193,MDM2,1956,EGFR,Neg
7148,TNXB,3693,ITGB5,Pos
6256,RXRA,1593,CYP27A1,Pos
9002,F2RL3,54331,GNG2,Pos
5696,PSMB8,5685,PSMA4,Phy
3055,HCK,2042,EPHA3,Neg
3676,ITGA4,1398,CRK,Pos
89853,FAM125B,92421,CHMP4C,Phy
1286,COL4A4,3688,ITGB1,Pos
369,ARAF,51564,HDAC7,Pos
7283,TUBG1,8481,OFD1,Phy
3558,IL2,9046,DOK2,Pos
5705,PSMC5,64682,ANAPC1,Pos
8204,NRIP1,5916,RARG,Phy
6132,RPL8,6205,RPS11,Phy
2308,FOXO1,7532,YWHAG,Phy
2064,ERBB2,5566,PRKACA,Pos
2099,ESR1,4609,MYC,Pos
1445,CSK,4067,LYN,Neg
4067,LYN,8048,CSRP3,Pos
1869,E2F1,890,CCNA2,Pos
137075,CLDN23,9076,CLDN1,Phy
8826,IQGAP1,646821,LOC646821,Pos
3169,FOXA1,3630,INS,Pos
11051,NUDT21,10978,CLP1,Pos
10714,POLD3,5424,POLD1,Phy
4771,NF2,857,CAV1,Phy
27338,UBE2S,9820,CUL7,Phy
2064,ERBB2,3572,IL6ST,Phy
6382,SDC1,5595,MAPK3,Pos
654,BMP6,269,AMHR2,Pos
8737,RIPK1,3551,IKBKB,Pos
2068,ERCC2,6882,TAF11,Phy
57805,KIAA1967,23411,SIRT1,Pos
122809,SOCS4,3716,JAK1,Neg
775,CACNA1C,8912,CACNA1H,Phy
284086,NEK8,55796,MBNL3,Pos
2534,FYN,1947,EFNB1,Pos
5781,PTPN11,5908,RAP1B,Pos
8823,FGF16,2260,FGFR1,Pos
1499,CTNNB1,8313,AXIN2,Pos
2002,ELK1,5663,PSEN1,Neg
55851,PSENEN,5663,PSEN1,Phy
11025,LILRB3,5777,PTPN6,Phy
3579,CXCR2,2771,GNAI2,Pos
5108,PCM1,55835,CENPJ,Phy
80184,CEP290,22994,AZI1,Phy
51433,ANAPC5,51433,ANAPC5,Phy
6146,RPL22,6170,RPL39,Phy
2534,FYN,7277,TUBA4A,Phy
11035,RIPK3,94104,PAXBP1,Pos
1621,DBH,148,ADRA1A,Pos
8445,DYRK2,84254,CAMKK1,Pos
5439,POLR2J,8841,HDAC3,Phy
9265,CYTH3,375,ARF1,Pos
840,CASP7,790,CAD,Pos
7094,TLN1,823,CAPN1,Phy
3308,HSPA4,317,APAF1,Neg
10207,INADL,51208,CLDN18,Phy
6122,RPL3,6130,RPL7A,Phy
1478,CSTF2,51692,CPSF3,Pos
5590,PRKCZ,2934,GSN,Pos
3567,IL5,6037,RNASE3,Pos
2057,EPOR,6777,STAT5B,Phy
51035,UBXN1,246184,CDC26,Pos
6288,SAA1,5743,PTGS2,Pos
7157,TP53,1462,VCAN,Pos
11047,ADRM1,64682,ANAPC1,Pos
5530,PPP3CA,4209,MEF2D,Pos
9491,PSMF1,5708,PSMD2,Phy
54625,PARP14,6778,STAT6,Phy
4041,LRP5,7855,FZD5,Phy
2247,FGF2,1432,MAPK14,Neg
5293,PIK3CD,5170,PDPK1,Pos
1445,CSK,9112,MTA1,Pos
5691,PSMB3,23198,PSME4,Phy
