3459,IFNGR1,815,CAMK2A,Pos
4149,MAX,1965,EIF2S1,Pos
6957,TRB@,3561,IL2RG,Pos
387,RHOA,53358,SHC3,Neg
4751,NEK2,3059,HCLS1,Pos
7532,YWHAG,11190,CEP250,Phy
367,AR,860,RUNX2,Phy
51377,UCHL5,10393,ANAPC10,Pos
823,CAPN1,89,ACTN3,Phy
3558,IL2,1398,CRK,Pos
6934,TCF7L2,4609,MYC,Pos
650,BMP2,7043,TGFB3,Pos
9320,TRIP12,5698,PSMB9,Phy
6195,RPS6KA1,8517,IKBKG,Pos
8655,DYNLL1,22994,AZI1,Phy
3592,IL12A,3717,JAK2,Pos
3937,LCP2,4214,MAP3K1,Pos
29843,SENP1,9846,GAB2,Phy
4957,ODF2,9702,CEP57,Phy
10095,ARPC1B,10093,ARPC4,Phy
4301,MLLT4,5908,RAP1B,Phy
2260,FGFR1,8074,FGF23,Phy
9965,FGF19,2263,FGFR2,Pos
7027,TFDP1,1031,CDKN2C,Pos
2534,FYN,6622,SNCA,Pos
815,CAMK2A,6853,SYN1,Neg
1453,CSNK1D,1499,CTNNB1,Pos
5713,PSMD7,7189,TRAF6,Phy
5753,PTK6,4776,NFATC4,Pos
9252,RPS6KA5,660,BMX,Pos
3458,IFNG,7298,TYMS,Pos
6850,SYK,5702,PSMC3,Pos
10750,GRAP,3815,KIT,Phy
1439,CSF2RB,5777,PTPN6,Phy
1022,CDK7,6663,SOX10,Pos
3627,CXCL10,3579,CXCR2,Pos
10850,CCL27,7852,CXCR4,Pos
5423,POLB,2087,ERVK2,Neg
1956,EGFR,23533,PIK3R5,Pos
3071,NCKAP1L,3624,INHBA,Neg
208,AKT2,572,BAD,Pos
7117,TMSL3,71,ACTG1,Phy
5695,PSMB7,6555,SLC10A2,Phy
7531,YWHAE,1781,DYNC1I2,Phy
3594,IL12RB1,4792,NFKBIA,Pos
8651,SOCS1,3575,IL7R,Neg
2206,MS4A2,27040,LAT,Pos
80254,CEP63,54820,NDE1,Phy
5294,PIK3CG,959,CD40LG,Phy
6258,RXRG,8310,ACOX3,Pos
196,AHR,9429,ABCG2,Pos
208,AKT2,57521,RPTOR,Pos
4089,SMAD4,993,CDC25A,Neg
6198,RPS6KB1,4775,NFATC3,Pos
11064,CEP110,22919,MAPRE1,Phy
2959,GTF2B,2957,GTF2A1,Phy
3953,LEPR,5565,PRKAB2,Pos
8445,DYRK2,55323,LARP6,Pos
6655,SOS2,3265,HRAS,Pos
868,CBLB,2263,FGFR2,Neg
29760,BLNK,25759,SHC2,Pos
10818,FRS2,3265,HRAS,Pos
4791,NFKB2,4843,NOS2,Pos
10125,RASGRP1,8913,CACNA1G,Phy
8772,FADD,3551,IKBKB,Pos
10197,PSME3,5716,PSMD10,Phy
860,RUNX2,3958,LGALS3,Pos
5601,MAPK9,8660,IRS2,Neg
2188,FANCF,91442,C19orf40,Phy
5599,MAPK8,672,BRCA1,Pos
4149,MAX,7709,ZBTB17,Phy
8874,ARHGEF7,2033,EP300,Pos
5048,PAFAH1B1,54820,NDE1,Phy
5578,PRKCA,22798,LAMB4,Pos
11258,DCTN3,10733,PLK4,Phy
3561,IL2RG,6654,SOS1,Pos
5921,RASA1,6774,STAT3,Pos
92170,MTG1,5894,RAF1,Pos
3326,HSP90AB1,367,AR,Pos
203068,TUBB,9702,CEP57,Phy
4067,LYN,2353,FOS,Neg
4615,MYD88,8772,FADD,Pos
3685,ITGAV,1398,CRK,Pos
81,ACTN4,6709,SPTAN1,Phy
5708,PSMD2,996,CDC27,Pos
6714,SRC,9564,BCAR1,Pos
8607,RUVBL1,4691,NCL,Pos
930,CD19,7410,VAV2,Pos
64798,DEPDC6,55615,PRR5,Phy
29979,UBQLN1,1163,CKS1B,Pos
1855,DVL1,998,CDC42,Pos
1387,CREBBP,1647,GADD45A,Pos
