Time	BM	ACT	GLC	ACoA	AKG	cAMP	FBP	G6P	GLX	ICT	MAL	OAA	PEP	PG3	PYR	AceA	AceB	AceK	Acoa2act	Acs	Akg2mal	CAMPdegr	Cya	Emp	Eno	Fdp	GltA	Icd	Icd_P	Mdh	Me	PckA	Pdh	PfkA	Ppc	PpsA	PykF	Cra	CraFBP	Crp	CrpcAMP	IclR	PdhR	PdhRPYR	EIIA	EIIA_P	EIICB
26235	2.59385	0.601126	2.06E-78	0.72558	0.268694	3.93512	0.0675068	0.0858446	23.712	0.323921	4.32433	0.0223329	0.0832775	0.246886	0.0123249	0.021379	0.00641369	0.000641369	0.001	0.0025399	0.00121269	0.001	0.001	0.0112228	0.0106926	0.000215264	0.0014287	0.000692426	0.00469666	0.00465187	0.0013908	0.00501436	0.00414833	0.000134928	0.000882096	0.00295074	0.0052171	0.00727208	1.79E-05	0.00135081	0.00593919	0.00729	0.00678044	0.000509561	0.00557767	0.0944223	0.003
27030	2.71171	0.488984	-1.76E-85	0.726245	0.329287	3.93516	0.0758721	0.150218	22.169	0.372427	4.68514	0.0275739	0.100813	0.292586	0.0149194	0.0269902	0.00809706	0.000809706	0.001	0.00302801	0.00127546	0.001	0.001	0.0111257	0.0104047	0.000234662	0.0015639	0.00081879	0.00486519	0.00505643	0.00151999	0.00592903	0.0039853	0.000131957	0.000843207	0.00361021	0.00496244	0.00726738	2.26E-05	0.0013508	0.0059392	0.00729	0.00668212	0.000607884	0.00557743	0.0944226	0.003
27825	2.83486	0.351969	-8.26E-89	0.735287	0.38596	3.93604	0.0828626	0.219713	20.6167	0.419777	4.96694	0.0323125	0.117917	0.335516	0.0173242	0.0322358	0.00967073	0.000967073	0.001	0.00348436	0.00133413	0.001	0.001	0.0110348	0.0101355	0.000252792	0.00169029	0.000930957	0.00502862	0.00543463	0.00164069	0.00678382	0.00383378	0.000129178	0.00080683	0.00422639	0.00472432	0.00726304	2.70E-05	0.00135055	0.00593945	0.00729	0.0065935	0.000696504	0.00553924	0.0944608	0.003
28620	2.96343	0.189634	-6.04E-92	0.745395	0.438219	3.93823	0.0895254	0.290789	19.1058	0.46705	5.18867	0.0365465	0.135238	0.378058	0.0195671	0.0371349	0.0111405	0.00111405	0.001	0.00391063	0.00138891	0.001	0.001	0.0109495	0.00988371	0.00026972	0.00180833	0.00103067	0.00518615	0.00578784	0.00175319	0.00758187	0.003693	0.000126578	0.000772805	0.00480156	0.00450176	0.00725855	3.15E-05	0.00134993	0.00594007	0.00729	0.00651293	0.000777068	0.00545971	0.0945403	0.003
29415	0.0301262	4.99982	0	0.769325	0.491394	3.94114	0.0963992	0.359019	17.673	0.517055	5.39411	0.0406503	0.153267	0.421616	0.0215471	0.0416774	0.0125032	0.00125032	0.001	0.00430588	0.00143957	0.001	0.001	0.0108686	0.00964838	0.000285391	0.00191766	0.00112559	0.00532904	0.00611495	0.00185628	0.00832133	0.00356249	0.000124143	0.000740992	0.00533448	0.00429438	0.00725356	3.64E-05	0.00134912	0.00594088	0.00729	0.00644343	0.000846567	0.00531317	0.0946868	0.003
30210	0.0314975	4.99771	0	0.786225	0.539373	3.94654	0.104069	0.42641	16.2574	0.568428	5.5542	0.0442561	0.172272	0.467472	0.0234666	0.0459851	0.0137955	0.00137955	0.001	0.00468103	0.00148786	0.001	0.001	0.0107947	0.00942816	0.000300285	0.00202163	0.00120954	0.00547161	0.00642609	0.0019559	0.00902266	0.00344057	0.000121869	0.000711206	0.00583958	0.00409926	0.00724756	4.24E-05	0.00134762	0.00594238	0.00729	0.00637746	0.000912544	0.00515663	0.0948434	0.003
31005	0.0329311	4.99534	0	0.803582	0.584486	3.95167	0.112761	0.489593	14.9019	0.621805	5.68979	0.0475312	0.192333	0.515931	0.0252447	0.0500138	0.0150041	0.00150041	0.001	0.00503208	0.00153306	0.001	0.001	0.0107257	0.00922227	0.000314213	0.00211894	0.00128689	0.00560609	0.00671728	0.00204909	0.0096782	0.00332721	0.000119742	0.000683344	0.00631151	0.00391679	0.00724023	4.98E-05	0.00134619	0.00594381	0.00729	0.00631754	0.000972465	0.00497811	0.0950219	0.003
31800	0.0344301	4.99269	0	0.821297	0.626884	3.95728	0.122706	0.547786	13.5945	0.677615	5.80572	0.050503	0.213568	0.567462	0.0268869	0.0537812	0.0161344	0.00161344	0.001	0.0053606	0.00157537	0.001	0.001	0.0106612	0.00902983	0.000327236	0.00221001	0.00135811	0.00573292	0.00698983	0.00213626	0.0102908	0.00322182	0.000117752	0.000657281	0.00675229	0.00374618	0.00723113	5.89E-05	0.00134464	0.00594536	0.00729	0.00626319	0.00102681	0.0047845	0.0952155	0.003
32595	0.0359972	4.98975	0	0.839466	0.666692	3.9631	0.133899	0.600552	12.3358	0.735633	5.90549	0.0531916	0.235888	0.62188	0.0283997	0.057304	0.0171912	0.00171912	0.001	0.00566805	0.00161496	0.001	0.001	0.0106009	0.00884999	0.000339411	0.00229526	0.00142394	0.00585226	0.00724495	0.0022178	0.0108631	0.00312381	0.000115891	0.000632901	0.00716377	0.00358668	0.00722001	7.00E-05	0.00134302	0.00594698	0.00729	0.00621394	0.00107606	0.0045851	0.0954149	0.003
33390	0.0376357	4.98652	0	0.858275	0.704027	3.96886	0.146059	0.647999	11.1338	0.795025	5.99175	0.0556133	0.258953	0.678227	0.0297891	0.0605976	0.0181793	0.00181793	0.001	0.00595579	0.00165202	0.001	0.001	0.0105446	0.00868198	0.000350792	0.00237506	0.00148499	0.00596427	0.00748376	0.00229407	0.0113976	0.00303266	0.00011415	0.000610097	0.00754766	0.00343758	0.00720688	8.31E-05	0.00134144	0.00594856	0.00729	0.00616939	0.00112061	0.00438998	0.09561	0.003
